League,Season,Last Name,FirstName,Age,Country,Team Name,Posistion,Number Of Appearences,Game Time,Number of Sub ins,Number of Sub outs,Number of Times Benched,Total Goals Scored,Total Yellow Cards,Total Red cards,Total YellowRed cards,Goals Per Game Time,Goals Per Appearence,Number of Substituions per Game,Avg Minutes per Appearence,Yellow Card Rate,Red Card Rate,YellowRed Card Rate
First League,2020,Fazli,Samir,33,North Macedonia,FK Makedonija G.P.,Attacker,10,725.0,2,2,2,4,2,0,0,0.005517241379310344,0.4,0.4,72.5,0.027586206896551724,0.0,0.0
First League,2020,Manev,Kosta,31,North Macedonia,Brera Strumica,Defender,11,983.0,0,0,0,1,1,0,1,0.001017293997965412,0.09090909090909091,0.0,89.36363636363636,0.011190233977619533,0.0,0.011190233977619533
First League,2020,Selmani,Remzifaik,27,North Macedonia,KF Renova,Attacker,27,1925.0,5,5,5,8,4,0,0,0.004155844155844156,0.2962962962962963,0.37037037037037035,71.29629629629629,0.05610389610389611,0.0,0.0
First League,2020,Kalpachki,David,24,North Macedonia,FK Belasica,Defender,29,2099.0,6,6,6,1,5,0,0,0.0004764173415912339,0.034482758620689655,0.41379310344827586,72.37931034482759,0.06908051453072891,0.0,0.0
First League,2020,Stojchevski,Filip,25,North Macedonia,KF Renova,Midfielder,25,685.0,20,20,20,1,3,0,1,0.00145985401459854,0.04,1.6,27.4,0.10948905109489052,0.0,0.03649635036496351
First League,2020,Gjorgiev,Pepi,30,North Macedonia,FK Sileks,Attacker,21,1511.0,5,5,5,13,3,0,0,0.008603573792190603,0.6190476190476191,0.47619047619047616,71.95238095238095,0.04169424222369292,0.0,0.0
First League,2020,Stoilov,Gjorgi,29,North Macedonia,Brera Strumica,Midfielder,26,2137.0,2,2,2,3,15,0,0,0.0014038371548900327,0.11538461538461539,0.15384615384615385,82.1923076923077,0.18249883013570425,0.0,0.0
First League,2020,Mishevski,Filip,33,North Macedonia,Borec,Defender,13,1165.0,0,0,0,0,2,0,1,0.0,0.0,0.0,89.61538461538461,0.022317596566523604,0.0,0.011158798283261802
First League,2020,Pecov,Hristijan,30,North Macedonia,FK Rabotnicki,Defender,20,1304.0,6,6,6,0,4,0,0,0.0,0.0,0.6,65.2,0.06134969325153374,0.0,0.0
First League,2020,Jovanov,Vane,26,North Macedonia,Brera Strumica,Defender,26,1625.0,8,8,8,0,1,0,0,0.0,0.0,0.6153846153846154,62.5,0.016,0.0,0.0
First League,2020,Jankov,Risto,26,North Macedonia,FK Rabotnicki,Goalkeeper,29,2610.0,0,0,0,0,2,0,0,0.0,0.0,0.0,90.0,0.022222222222222223,0.0,0.0
First League,2020,Ilievski,Bojan,25,North Macedonia,FK Pelister,Defender,31,2634.0,2,2,2,1,7,0,0,0.00037965072133637056,0.03225806451612903,0.12903225806451613,84.96774193548387,0.08238420652999241,0.0,0.0
First League,2020,Cvetanoski,Dejan,34,North Macedonia,FC Struga,Attacker,17,719.0,9,9,9,1,0,0,0,0.0013908205841446453,0.058823529411764705,1.0588235294117647,42.294117647058826,0.0,0.0,0.0
First League,2020,Gjorgjiev,Gjorgji,28,North Macedonia,Borec,Midfielder,24,963.0,14,14,14,3,1,0,0,0.003115264797507788,0.125,1.1666666666666667,40.125,0.024922118380062305,0.0,0.0
First League,2020,Velkovski,David,24,North Macedonia,FK Vardar,Attacker,20,1080.0,8,8,8,0,0,0,0,0.0,0.0,0.8,54.0,0.0,0.0,0.0
First League,2020,Stevkovski,Hristijan,25,North Macedonia,FK Makedonija G.P.,Goalkeeper,24,2160.0,0,0,0,0,3,0,0,0.0,0.0,0.0,90.0,0.03333333333333333,0.0,0.0
First League,2020,Omeragikj,Azer,22,North Macedonia,Borec,Attacker,6,291.0,2,2,2,0,3,0,0,0.0,0.0,0.6666666666666666,48.5,0.061855670103092786,0.0,0.0
First League,2020,Galevski,Ivan,28,North Macedonia,FK Sileks,Attacker,11,497.0,5,5,5,2,1,0,0,0.004024144869215292,0.18181818181818182,0.9090909090909091,45.18181818181818,0.022132796780684104,0.0,0.0
First League,2020,Glishikj,Darko,33,North Macedonia,KF Shkupi,Defender,14,986.0,2,2,2,0,0,0,0,0.0,0.0,0.2857142857142857,70.42857142857143,0.0,0.0,0.0
First League,2020,Jusufi,Fatjon,29,North Macedonia,KF Renova,Midfielder,14,1126.0,1,1,1,2,2,0,0,0.0017761989342806395,0.14285714285714285,0.14285714285714285,80.42857142857143,0.02486678507992895,0.0,0.0
First League,2020,Micevski,Darko,32,North Macedonia,FK Vardar,Midfielder,15,1157.0,3,3,3,3,0,0,0,0.0025929127052722557,0.2,0.4,77.13333333333334,0.0,0.0,0.0
First League,2020,Demir,Benjamin,28,North Macedonia,FK Belasica,Defender,13,991.0,1,1,1,2,0,0,0,0.0020181634712411706,0.15384615384615385,0.15384615384615385,76.23076923076923,0.0,0.0,0.0
First League,2020,Zahov,Kostadin,37,North Macedonia,KF Shkëndija,Goalkeeper,30,2700.0,0,0,0,0,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
First League,2020,Duranski,Filip,33,North Macedonia,FK Sileks,Midfielder,8,384.0,5,5,5,0,3,0,0,0.0,0.0,1.25,48.0,0.0625,0.0,0.0
First League,2020,Bajrami,Medin,26,North Macedonia,FK Belasica,Defender,19,1559.0,2,2,2,0,5,0,0,0.0,0.0,0.21052631578947367,82.05263157894737,0.06093649775497113,0.0,0.0
First League,2020,Sharkoski,Nikolche,30,North Macedonia,Brera Strumica,Midfielder,8,309.0,5,5,5,0,0,0,0,0.0,0.0,1.25,38.625,0.0,0.0,0.0
First League,2020,Mishkovski,Nenad,38,North Macedonia,KF Renova,Defender,31,2777.0,0,0,0,1,8,0,0,0.00036010082823190496,0.03225806451612903,0.0,89.58064516129032,0.08930500540151243,0.0,0.0
First League,2020,Jasharoski,Alen,33,North Macedonia,KF Renova,Attacker,32,1479.0,20,20,20,8,1,0,0,0.005409060175794456,0.25,1.25,46.21875,0.021636240703177823,0.0,0.0
First League,2020,Mustafa,Burhan,34,North Macedonia,FK Rabotnicki,Goalkeeper,2,180.0,0,0,0,0,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
First League,2020,Nikolovski,Kristijan,27,North Macedonia,FK Pelister,Midfielder,28,1740.0,9,9,9,0,14,0,0,0.0,0.0,0.6428571428571429,62.142857142857146,0.22528735632183908,0.0,0.0
First League,2020,Hani,Agon,26,North Macedonia,FC Struga,Defender,11,59.0,10,10,10,0,1,0,0,0.0,0.0,1.8181818181818181,5.363636363636363,0.1864406779661017,0.0,0.0
First League,2020,Jahja,Abdulhadi,25,North Macedonia,FC Struga,Attacker,29,2043.0,6,6,6,3,2,0,0,0.0014684287812041115,0.10344827586206896,0.41379310344827586,70.44827586206897,0.02838962310327949,0.0,0.0
First League,2020,Kochoski,Valentin,27,North Macedonia,FK Pelister,Midfielder,25,1968.0,4,4,4,3,10,0,0,0.001524390243902439,0.12,0.32,78.72,0.12703252032520326,0.0,0.0
First League,2020,Iljazi,Ardit,24,North Macedonia,KF Shkupi,Defender,17,1030.0,4,4,4,0,5,0,0,0.0,0.0,0.47058823529411764,60.588235294117645,0.0825242718446602,0.0,0.0
First League,2020,Gjurkovski,Aleksandar,22,North Macedonia,FK Vardar,Midfielder,19,1403.0,2,2,2,0,2,0,0,0.0,0.0,0.21052631578947367,73.84210526315789,0.0270848182466144,0.0,0.0
First League,2020,Mitev,Robert,30,North Macedonia,FK Belasica,Defender,6,344.0,2,2,2,0,2,0,0,0.0,0.0,0.6666666666666666,57.333333333333336,0.03488372093023256,0.0,0.0
First League,2020,Ristovski,Marjan,28,North Macedonia,FK Rabotnicki,Midfielder,14,1250.0,0,0,0,0,3,0,0,0.0,0.0,0.0,89.28571428571429,0.0336,0.0,0.0
First League,2020,Ziba,Arion,23,North Macedonia,FC Struga,Midfielder,3,114.0,1,1,1,0,0,0,0,0.0,0.0,0.6666666666666666,38.0,0.0,0.0,0.0
First League,2020,Markoski,Kire,29,North Macedonia,Brera Strumica,Attacker,12,511.0,7,7,7,2,1,0,0,0.003913894324853229,0.16666666666666666,1.1666666666666667,42.583333333333336,0.023483365949119372,0.0,0.0
First League,2020,Ilikj,Filip,27,North Macedonia,FK Vardar,Goalkeeper,31,2790.0,0,0,0,0,4,0,0,0.0,0.0,0.0,90.0,0.044444444444444446,0.0,0.0
First League,2020,Stojkov,Dragan,36,North Macedonia,FK Rabotnicki,Midfielder,22,1635.0,3,3,3,0,8,0,0,0.0,0.0,0.2727272727272727,74.31818181818181,0.10764525993883793,0.0,0.0
First League,2020,Murati,Mevlan,30,North Macedonia,KF Shkëndija,Defender,29,2361.0,2,2,2,2,5,0,0,0.0008470986869970351,0.06896551724137931,0.13793103448275862,81.41379310344827,0.06141465480728505,0.0,0.0
First League,2020,Petkovski,Petar,27,North Macedonia,FK Rabotnicki,Attacker,18,928.0,9,9,9,2,3,0,0,0.0021551724137931034,0.1111111111111111,1.0,51.55555555555556,0.05818965517241379,0.0,0.0
First League,2020,Ristevski,Aleksandar,32,North Macedonia,FC Struga,Defender,27,2322.0,1,1,1,5,5,0,0,0.002153316106804479,0.18518518518518517,0.07407407407407407,86.0,0.05813953488372093,0.0,0.0
First League,2020,Cvetanoski,Matej,27,North Macedonia,KF Shkupi,Midfielder,14,879.0,3,3,3,2,1,0,0,0.0022753128555176336,0.14285714285714285,0.42857142857142855,62.785714285714285,0.015927189988623434,0.0,0.0
First League,2020,Bilali,Sabit,27,North Macedonia,KF Shkupi,Midfielder,31,1556.0,15,15,15,0,8,0,0,0.0,0.0,0.967741935483871,50.193548387096776,0.15938303341902313,0.0,0.0
First League,2020,Kalanoski,Antonio,30,North Macedonia,FK Belasica,Attacker,26,2170.0,0,0,0,8,8,0,0,0.003686635944700461,0.3076923076923077,0.0,83.46153846153847,0.09585253456221197,0.0,0.0
First League,2020,Tomovski,Goran,26,North Macedonia,Brera Strumica,Midfielder,22,1392.0,6,6,6,0,7,0,0,0.0,0.0,0.5454545454545454,63.27272727272727,0.11063218390804598,0.0,0.0
First League,2020,Milovanovikj,Daniel,26,North Macedonia,Brera Strumica,Midfielder,27,1382.0,10,10,10,4,3,0,0,0.002894356005788712,0.14814814814814814,0.7407407407407407,51.18518518518518,0.05861070911722142,0.0,0.0
First League,2020,Adem,Ermedin,34,North Macedonia,FK Makedonija G.P.,Midfielder,24,1687.0,4,4,4,4,6,0,1,0.0023710729104919974,0.16666666666666666,0.3333333333333333,70.29166666666667,0.0853586247777119,0.0,0.014226437462951986
First League,2020,Alchevski,Marko,22,North Macedonia,Brera Strumica,Goalkeeper,16,1412.0,0,0,0,0,3,0,1,0.0,0.0,0.0,88.25,0.0339943342776204,0.0,0.0113314447592068
First League,2020,Naumcheski,Stefan,24,North Macedonia,FK Vardar,Midfielder,3,258.0,0,0,0,0,0,0,0,0.0,0.0,0.0,86.0,0.0,0.0,0.0
First League,2020,Ivanovski,Zoran,24,North Macedonia,FK Belasica,Defender,27,1858.0,4,4,4,1,1,0,0,0.0005382131324004305,0.037037037037037035,0.2962962962962963,68.81481481481481,0.014531754574811626,0.0,0.0
First League,2020,Stojanovski,Georg,20,North Macedonia,FK Vardar,Attacker,15,282.0,12,12,12,0,0,0,0,0.0,0.0,1.6,18.8,0.0,0.0,0.0
First League,2020,Mazari,Atdhe,23,Albania,FC Struga,Midfielder,7,81.0,7,7,7,0,0,0,0,0.0,0.0,2.0,11.571428571428571,0.0,0.0,0.0
First League,2020,Kupanov,Filip,22,North Macedonia,Brera Strumica,Goalkeeper,3,206.0,1,1,1,0,0,0,0,0.0,0.0,0.6666666666666666,68.66666666666667,0.0,0.0,0.0
First League,2020,Terziev,Spase,22,North Macedonia,Brera Strumica,Defender,4,191.0,2,2,2,0,0,0,0,0.0,0.0,1.0,47.75,0.0,0.0,0.0
First League,2020,Angelov,Matej,20,North Macedonia,FK Rabotnicki,Midfielder,3,31.0,3,3,3,0,1,0,0,0.0,0.0,2.0,10.333333333333334,0.0967741935483871,0.0,0.0
First League,2020,Gjurgjevikj,Fahrudin,32,North Macedonia,FK Rabotnicki,Attacker,26,1681.0,7,7,7,12,6,0,0,0.007138607971445568,0.46153846153846156,0.5384615384615384,64.65384615384616,0.09280190362879237,0.0,0.0
First League,2020,Zuka,Fisnik,29,North Macedonia,FK Rabotnicki,Midfielder,18,1099.0,6,6,6,0,4,0,0,0.0,0.0,0.6666666666666666,61.05555555555556,0.06551410373066424,0.0,0.0
First League,2020,Spirkoski,Blagoja,28,North Macedonia,FK Pelister,Midfielder,24,1950.0,0,0,0,0,5,0,0,0.0,0.0,0.0,81.25,0.06153846153846154,0.0,0.0
First League,2020,Stojkoski,Kristijan,33,North Macedonia,FK Rabotnicki,Attacker,24,1237.0,11,11,11,2,4,0,0,0.0016168148746968471,0.08333333333333333,0.9166666666666666,51.541666666666664,0.07760711398544867,0.0,0.0
First League,2020,Bozhinovski,Daniel,35,North Macedonia,FK Sileks,Goalkeeper,22,1936.0,0,0,0,0,2,0,0,0.0,0.0,0.0,88.0,0.022727272727272728,0.0,0.0
First League,2020,Serafimovski,Viktor,29,North Macedonia,FK Sileks,Midfielder,28,2232.0,4,4,4,0,8,0,0,0.0,0.0,0.2857142857142857,79.71428571428571,0.1003584229390681,0.0,0.0
First League,2020,Timovski,Angelche,30,North Macedonia,FK Sileks,Defender,29,2431.0,1,1,1,0,6,2,0,0.0,0.0,0.06896551724137931,83.82758620689656,0.07157548334018922,0.02385849444672974,0.0
First League,2020,Stoimenovski,Oliver,25,North Macedonia,Borec,Defender,29,2386.0,2,2,2,1,5,0,0,0.00041911148365465214,0.034482758620689655,0.13793103448275862,82.27586206896552,0.06077116512992455,0.0,0.0
First League,2020,Karcheski,Daniel,32,North Macedonia,FK Sileks,Midfielder,29,2453.0,1,1,1,0,9,0,1,0.0,0.0,0.06896551724137931,84.58620689655173,0.10640032613126783,0.0,0.011822258459029759
First League,2020,Eftimov,Kristijan,25,North Macedonia,Borec,Defender,28,2169.0,1,1,1,0,4,0,0,0.0,0.0,0.07142857142857142,77.46428571428571,0.05163669893960351,0.0,0.0
First League,2020,Ivanovski,Ivan,29,North Macedonia,FK Sileks,Attacker,21,1462.0,4,4,4,8,1,0,0,0.005471956224350205,0.38095238095238093,0.38095238095238093,69.61904761904762,0.014363885088919288,0.0,0.0
First League,2020,Lazarevikj,Stefan,27,North Macedonia,FK Vardar,Midfielder,31,2491.0,2,2,2,1,6,0,0,0.0004014452027298274,0.03225806451612903,0.12903225806451613,80.35483870967742,0.07466880770774789,0.0,0.0
First League,2020,Mihailov,Filip,26,North Macedonia,FK Belasica,Midfielder,26,1345.0,10,10,10,0,5,0,0,0.0,0.0,0.7692307692307693,51.73076923076923,0.0966542750929368,0.0,0.0
First League,2020,Kocev,Aleksandar,21,North Macedonia,FK Belasica,Midfielder,20,1126.0,10,10,10,1,5,0,0,0.0008880994671403197,0.05,1.0,56.3,0.08880994671403197,0.0,0.0
First League,2020,Kirovski,Andrej,25,North Macedonia,FK Rabotnicki,Defender,8,707.0,0,0,0,0,2,0,1,0.0,0.0,0.0,88.375,0.02263083451202263,0.0,0.011315417256011316
First League,2020,Krstevski,Viktor,22,North Macedonia,FK Vardar,Defender,21,1724.0,1,1,1,1,4,0,0,0.000580046403712297,0.047619047619047616,0.09523809523809523,82.0952380952381,0.048723897911832945,0.0,0.0
First League,2020,Stojkov,David,23,North Macedonia,FK Belasica,Defender,13,936.0,1,1,1,0,1,0,0,0.0,0.0,0.15384615384615385,72.0,0.013888888888888888,0.0,0.0
First League,2020,Manasievski,David,23,North Macedonia,FK Sileks,Midfielder,14,781.0,2,2,2,2,0,0,0,0.002560819462227913,0.14285714285714285,0.2857142857142857,55.785714285714285,0.0,0.0,0.0
First League,2020,Abazi,Rejjan,22,Canada,KF Shkupi,Attacker,3,41.0,3,3,3,0,1,0,0,0.0,0.0,2.0,13.666666666666666,0.07317073170731708,0.0,0.0
First League,2020,Mirchevski,Teodor,23,North Macedonia,Borec,Defender,2,10.0,2,2,2,0,0,0,0,0.0,0.0,2.0,5.0,0.0,0.0,0.0
First League,2020,Dita,Bruno,31,Albania,KF Shkëndija,Midfielder,28,2139.0,7,7,7,1,9,0,0,0.0004675081813931744,0.03571428571428571,0.5,76.39285714285714,0.11781206171107995,0.0,0.0
First League,2020,Cake,Klisman,25,Albania,FC Struga,Defender,31,2772.0,0,0,0,4,10,0,0,0.001443001443001443,0.12903225806451613,0.0,89.41935483870968,0.11183261183261183,0.0,0.0
First League,2020,Taleski,Davor,29,North Macedonia,FK Pelister,Goalkeeper,29,2610.0,0,0,0,0,7,0,0,0.0,0.0,0.0,90.0,0.07777777777777778,0.0,0.0
First League,2020,Ibraimi,Besart,38,North Macedonia,KF Shkëndija,Attacker,32,2612.0,2,2,2,24,5,0,0,0.009188361408882083,0.75,0.125,81.625,0.06125574272588055,0.0,0.0
First League,2020,Efremov,Andreja,32,North Macedonia,Borec,Goalkeeper,6,540.0,0,0,0,0,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
First League,2020,Trapanovski,Kristijan,25,North Macedonia,KF Shkupi,Attacker,13,744.0,5,5,5,0,1,0,0,0.0,0.0,0.7692307692307693,57.23076923076923,0.01747311827956989,0.0,0.0
First League,2020,Qaka,Kamer,29,Kosovo,KF Shkëndija,Midfielder,14,856.0,6,6,6,1,3,0,0,0.0011682242990654205,0.07142857142857142,0.8571428571428571,61.142857142857146,0.04906542056074766,0.0,0.0
First League,2020,Totre,Ennur,28,North Macedonia,KF Shkëndija,Midfielder,17,1263.0,3,3,3,4,5,0,0,0.003167062549485352,0.23529411764705882,0.35294117647058826,74.29411764705883,0.06730007917656373,0.0,0.0
First League,2020,Ilieski,Darko,29,North Macedonia,FK Pelister,Defender,31,2790.0,0,0,0,0,7,0,0,0.0,0.0,0.0,90.0,0.07777777777777778,0.0,0.0
First League,2020,Abdula,Dzhelil,33,North Macedonia,KF Renova,Defender,31,2707.0,0,0,0,0,7,1,0,0.0,0.0,0.0,87.3225806451613,0.08016254155892132,0.011451791651274473,0.0
First League,2020,Adem,Ali,24,North Macedonia,KF Shkupi,Midfielder,10,602.0,3,3,3,1,0,0,0,0.0016611295681063123,0.1,0.6,60.2,0.0,0.0,0.0
First League,2020,Velija,Bashkim,31,North Macedonia,KF Renova,Defender,32,2854.0,0,0,0,1,4,0,0,0.000350385423966363,0.03125,0.0,89.1875,0.04484933426769446,0.0,0.0
First League,2020,Vosha,Arbi,23,North Macedonia,FK Makedonija G.P.,Attacker,28,1756.0,6,6,6,2,9,0,0,0.0011389521640091116,0.07142857142857142,0.42857142857142855,62.714285714285715,0.14350797266514806,0.0,0.0
First League,2020,Sheji,Blerton,24,North Macedonia,FC Struga,Defender,32,2179.0,6,6,6,0,9,0,0,0.0,0.0,0.375,68.09375,0.13217072051399725,0.0,0.0
First League,2020,Iljazi,Artan,25,North Macedonia,KF Shkupi,Goalkeeper,6,540.0,0,0,0,0,1,0,0,0.0,0.0,0.0,90.0,0.011111111111111112,0.0,0.0
First League,2020,Ramadani,Florent,24,North Macedonia,KF Shkëndija,Midfielder,22,822.0,7,7,7,2,1,0,0,0.0024330900243309003,0.09090909090909091,0.6363636363636364,37.36363636363637,0.0267639902676399,0.0,0.0
First League,2020,Merdzhani,Zija,29,North Macedonia,KF Shkëndija,Defender,8,312.0,5,5,5,0,1,0,0,0.0,0.0,1.25,39.0,0.02564102564102564,0.0,0.0
First League,2020,Krstevski,Vane,21,North Macedonia,Brera Strumica,Midfielder,3,35.0,3,3,3,0,0,0,0,0.0,0.0,2.0,11.666666666666666,0.0,0.0,0.0
First League,2020,Gudjufi,Besar,20,North Macedonia,FK Belasica,Midfielder,10,641.0,4,4,4,2,0,0,0,0.0031201248049922,0.2,0.8,64.1,0.0,0.0,0.0
First League,2020,Ramani,Ferat,30,North Macedonia,KF Shkëndija,Goalkeeper,2,180.0,0,0,0,0,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
First League,2020,Martinaga,Marko,26,Croatia,Brera Strumica,Defender,15,1334.0,0,0,0,0,0,0,0,0.0,0.0,0.0,88.93333333333334,0.0,0.0,0.0
First League,2020,Tošeski,Miloš,26,North Macedonia,FK Rabotnicki,Midfielder,17,600.0,12,12,12,1,3,0,0,0.0016666666666666668,0.058823529411764705,1.411764705882353,35.294117647058826,0.08499999999999999,0.0,0.0
First League,2020,Shabani,Bunjamin,33,North Macedonia,FC Struga,Midfielder,28,2336.0,1,1,1,0,9,0,1,0.0,0.0,0.07142857142857142,83.42857142857143,0.10787671232876712,0.0,0.011986301369863013
First League,2020,Krivák,Ján,31,Slovakia,KF Shkëndija,Defender,22,1980.0,0,0,0,1,12,0,0,0.000505050505050505,0.045454545454545456,0.0,90.0,0.13333333333333333,0.0,0.0
First League,2020,Neziri,Medzhit,34,North Macedonia,KF Shkëndija,Defender,24,1808.0,5,5,5,0,6,0,0,0.0,0.0,0.4166666666666667,75.33333333333333,0.07964601769911504,0.0,0.0
First League,2020,Tairi,Flamur,34,North Macedonia,FC Struga,Midfielder,29,1735.0,11,11,11,1,7,0,1,0.0005763688760806917,0.034482758620689655,0.7586206896551724,59.827586206896555,0.1170028818443804,0.0,0.016714697406340056
First League,2020,Đorđević,Krsta,31,Serbia,FK Sileks,Midfielder,5,194.0,4,4,4,0,1,0,0,0.0,0.0,1.6,38.8,0.025773195876288662,0.0,0.0
First League,2020,Radeski,Marjan,29,North Macedonia,Brera Strumica,Attacker,31,2509.0,2,2,2,7,5,0,0,0.0027899561578318055,0.22580645161290322,0.12903225806451613,80.93548387096774,0.061777600637704266,0.0,0.0
First League,2020,Mirchevski,Martin,27,North Macedonia,FK Vardar,Attacker,27,1897.0,5,5,5,8,2,0,0,0.004217185028993147,0.2962962962962963,0.37037037037037035,70.25925925925925,0.028465998945703747,0.0,0.0
First League,2020,Krivanjeva,Besart,28,North Macedonia,KF Shkupi,Defender,32,2880.0,0,0,0,0,9,0,0,0.0,0.0,0.0,90.0,0.1,0.0,0.0
First League,2020,Sadriu,Leard,23,Kosovo,KF Shkëndija,Defender,2,71.0,1,1,1,0,0,0,0,0.0,0.0,1.0,35.5,0.0,0.0,0.0
First League,2020,Panoski,Igor,25,North Macedonia,Brera Strumica,Midfielder,4,299.0,0,0,0,1,1,0,0,0.0033444816053511705,0.25,0.0,74.75,0.013377926421404682,0.0,0.0
First League,2020,Todorovski,Dimitar,22,North Macedonia,FK Rabotnicki,Midfielder,33,1972.0,7,7,7,2,3,0,0,0.0010141987829614604,0.06060606060606061,0.42424242424242425,59.75757575757576,0.050202839756592295,0.0,0.0
First League,2020,Kasami,Ard,26,North Macedonia,FC Struga,Midfielder,17,1523.0,0,0,0,0,5,0,0,0.0,0.0,0.0,89.58823529411765,0.05581089954038083,0.0,0.0
First League,2020,Čumić,Luka,23,Serbia,FK Rabotnicki,Attacker,12,393.0,8,8,8,1,0,0,0,0.002544529262086514,0.08333333333333333,1.3333333333333333,32.75,0.0,0.0,0.0
First League,2020,Petejchuk,Anatolij,22,North Macedonia,FK Vardar,Defender,11,439.0,9,9,9,1,1,0,0,0.002277904328018223,0.09090909090909091,1.6363636363636365,39.90909090909091,0.02505694760820046,0.0,0.0
First League,2020,Talakov,Martin,21,North Macedonia,Borec,Midfielder,11,493.0,5,5,5,0,0,0,0,0.0,0.0,0.9090909090909091,44.81818181818182,0.0,0.0,0.0
First League,2020,Vulić,Aleksandar,23,Serbia,FK Belasica,Goalkeeper,15,1339.0,0,0,0,0,1,0,0,0.0,0.0,0.0,89.26666666666667,0.011202389843166542,0.0,0.0
First League,2020,Mirseloski,Raif,40,North Macedonia,FC Struga,Goalkeeper,6,540.0,0,0,0,0,1,0,0,0.0,0.0,0.0,90.0,0.011111111111111112,0.0,0.0
First League,2020,Adili,Murat,0,North Macedonia,Borec,Attacker,14,498.0,10,10,10,3,0,0,0,0.006024096385542169,0.21428571428571427,1.4285714285714286,35.57142857142857,0.0,0.0,0.0
First League,2020,Ilijovski,Riste,30,North Macedonia,FK Pelister,Midfielder,9,679.0,1,1,1,2,2,0,1,0.0029455081001472753,0.2222222222222222,0.2222222222222222,75.44444444444444,0.026509572901325478,0.0,0.013254786450662739
First League,2020,Gligorov,Filip,31,North Macedonia,KF Shkupi,Defender,28,2140.0,5,5,5,1,3,0,0,0.00046728971962616824,0.03571428571428571,0.35714285714285715,76.42857142857143,0.03925233644859813,0.0,0.0
First League,2020,Farsak,Salim,26,Türkiye,KF Shkupi,Midfielder,4,54.0,4,4,4,0,0,0,0,0.0,0.0,2.0,13.5,0.0,0.0,0.0
First League,2020,Rwatubyaye,Abdul,28,Rwanda,KF Shkupi,Defender,13,1170.0,0,0,0,1,1,0,0,0.0008547008547008547,0.07692307692307693,0.0,90.0,0.011111111111111112,0.0,0.0
First League,2020,Naumovski,Kristijan,36,North Macedonia,KF Shkupi,Goalkeeper,27,2430.0,0,0,0,0,4,0,0,0.0,0.0,0.0,90.0,0.044444444444444446,0.0,0.0
First League,2020,Mecinovikj,Jasmin,34,North Macedonia,FC Struga,Defender,30,2310.0,4,4,4,1,8,0,0,0.0004329004329004329,0.03333333333333333,0.26666666666666666,77.0,0.1038961038961039,0.0,0.0
First League,2020,Đurić,Uroš,31,Serbia,FC Struga,Goalkeeper,27,2430.0,0,0,0,0,8,0,0,0.0,0.0,0.0,90.0,0.08888888888888889,0.0,0.0
First League,2020,Trajanovski,Filip,25,North Macedonia,Borec,Defender,6,482.0,0,0,0,0,3,0,0,0.0,0.0,0.0,80.33333333333333,0.03734439834024896,0.0,0.0
First League,2020,Imeri,Omar,25,North Macedonia,KF Shkëndija,Midfielder,3,78.0,2,2,2,0,0,0,0,0.0,0.0,1.3333333333333333,26.0,0.0,0.0,0.0
First League,2020,Krstovski,Mario,26,North Macedonia,Brera Strumica,Attacker,31,2029.0,9,9,9,7,3,0,0,0.0034499753573188764,0.22580645161290322,0.5806451612903226,65.45161290322581,0.04583538689009364,0.0,0.0
First League,2020,Doriev,Ljupcho,29,North Macedonia,KF Shkëndija,Attacker,31,2175.0,6,6,6,7,5,1,0,0.003218390804597701,0.22580645161290322,0.3870967741935484,70.16129032258064,0.07126436781609195,0.014252873563218391,0.0
First League,2020,Goudiaby,Oumar,29,Senegal,FK Pelister,Attacker,14,1169.0,1,1,1,4,0,0,0,0.003421727972626176,0.2857142857142857,0.14285714285714285,83.5,0.0,0.0,0.0
First League,2020,Darboe,Dembo,26,Gambia,KF Shkupi,Attacker,18,1608.0,0,0,0,16,2,0,0,0.009950248756218905,0.8888888888888888,0.0,89.33333333333333,0.02238805970149254,0.0,0.0
First League,2020,Silva dos Santos,Charleston,28,Brazil,FK Makedonija G.P.,Defender,15,1350.0,0,0,0,2,1,0,0,0.0014814814814814814,0.13333333333333333,0.0,90.0,0.011111111111111112,0.0,0.0
First League,2020,Güllü,Fırat,23,Türkiye,KF Shkupi,Midfielder,4,36.0,4,4,4,0,0,0,0,0.0,0.0,2.0,9.0,0.0,0.0,0.0
First League,2020,Stankovski,Luka,22,North Macedonia,FK Rabotnicki,Midfielder,29,2223.0,4,4,4,8,7,0,0,0.003598740440845704,0.27586206896551724,0.27586206896551724,76.65517241379311,0.09131803868645973,0.0,0.0
First League,2020,Tomić,Milan,24,Serbia,Brera Strumica,Midfielder,8,380.0,4,4,4,0,0,0,0,0.0,0.0,1.0,47.5,0.0,0.0,0.0
First League,2020,Stojchevski,Andrej,21,North Macedonia,Brera Strumica,Defender,10,275.0,8,8,8,0,2,0,0,0.0,0.0,1.6,27.5,0.07272727272727272,0.0,0.0
First League,2020,Senghor,Faustin,30,Senegal,KF Shkupi,Defender,13,805.0,4,4,4,0,2,0,0,0.0,0.0,0.6153846153846154,61.92307692307692,0.03229813664596273,0.0,0.0
