League,Season,Last Name,FirstName,Age,Country,Team Name,Posistion,Number Of Appearences,Game Time,Number of Sub ins,Number of Sub outs,Number of Times Benched,Total Goals Scored,Total Yellow Cards,Total Red cards,Total YellowRed cards,Goals Per Game Time,Goals Per Appearence,Number of Substituions per Game,Avg Minutes per Appearence,Yellow Card Rate,Red Card Rate,YellowRed Card Rate
First League,2020,Apostolovski,Kristijan,0,North Macedonia,FK Belasica,Attacker,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
First League,2020,Igeski,Aleksandar,30,North Macedonia,FK Vardar,Goalkeeper,1,90.0,0,0,0,0,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
First League,2020,Stojkovski,Luka,19,North Macedonia,FK Vardar,Goalkeeper,1,90.0,0,0,0,0,0,0,0,0.0,0.0,0.0,90.0,0.0,0.0,0.0
First League,2020,Partalko,Eren,21,North Macedonia,FK Vardar,Midfielder,5,95.0,4,4,4,0,0,0,0,0.0,0.0,1.6,19.0,0.0,0.0,0.0
First League,2020,Naumoski,Nikola,20,North Macedonia,FK Pelister,Midfielder,2,0.0,2,2,2,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
First League,2020,Karakamishev,Riste,28,North Macedonia,FK Sileks,Defender,13,913.0,2,2,2,1,4,0,1,0.001095290251916758,0.07692307692307693,0.3076923076923077,70.23076923076923,0.056955093099671415,0.0,0.014238773274917854
First League,2020,Micevski,Ivan,20,North Macedonia,FK Vardar,Defender,7,354.0,3,3,3,0,0,0,0,0.0,0.0,0.8571428571428571,50.57142857142857,0.0,0.0,0.0
First League,2020,Mirkov,Antonio,19,North Macedonia,FK Vardar,Midfielder,6,147.0,6,6,6,0,0,0,0,0.0,0.0,2.0,24.5,0.0,0.0,0.0
First League,2020,Davidoski,Petar,19,North Macedonia,FK Vardar,Midfielder,9,553.0,3,3,3,0,0,0,0,0.0,0.0,0.6666666666666666,61.44444444444444,0.0,0.0,0.0
First League,2020,Spirovski,Darko,22,North Macedonia,FK Sileks,Defender,1,44.0,1,1,1,0,0,0,0,0.0,0.0,2.0,44.0,0.0,0.0,0.0
First League,2020,da Silva,Igor Wanderson,27,Brazil,KF Shkëndija,Midfielder,15,543.0,10,10,10,2,0,0,0,0.003683241252302026,0.13333333333333333,1.3333333333333333,36.2,0.0,0.0,0.0
First League,2020,Pandev,Sashko,36,North Macedonia,Brera Strumica,Attacker,24,626.0,19,19,19,1,4,0,0,0.001597444089456869,0.041666666666666664,1.5833333333333333,26.083333333333332,0.15335463258785942,0.0,0.0
First League,2020,Gafuri,Argjent,34,North Macedonia,KF Renova,Midfielder,9,725.0,1,1,1,0,1,0,0,0.0,0.0,0.2222222222222222,80.55555555555556,0.012413793103448275,0.0,0.0
First League,2020,Grozdanoski,Hristijan,30,North Macedonia,FK Rabotnicki,Defender,12,1080.0,0,0,0,0,3,0,0,0.0,0.0,0.0,90.0,0.03333333333333333,0.0,0.0
First League,2020,Cordoba,Alexander Borja,25,Colombia,FK Pelister,Defender,11,918.0,0,0,0,0,4,0,0,0.0,0.0,0.0,83.45454545454545,0.04793028322440087,0.0,0.0
First League,2020,Hot,Anes,27,Serbia,FK Pelister,Attacker,14,949.0,3,3,3,2,0,0,0,0.002107481559536354,0.14285714285714285,0.42857142857142855,67.78571428571429,0.0,0.0,0.0
First League,2020,Saliu,Pajazit,30,North Macedonia,FC Struga,Attacker,16,653.0,7,7,7,0,2,0,0,0.0,0.0,0.875,40.8125,0.04900459418070444,0.0,0.0
First League,2020,Trajkov,Trajche,30,North Macedonia,Borec,Midfielder,20,1009.0,9,9,9,1,4,0,0,0.0009910802775024777,0.05,0.9,50.45,0.07928642220019821,0.0,0.0
