League,Season,Last Name,First Name,Age,Country,Team Name,Position,Number Of Appearances,Game Time,Number of Sub-ins,Number of Sub-outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red Cards,Total YellowRed Cards,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved,Goals Per Appearance,Number of Substituions per Game,Avg Minutes per Appearance,Yellow Card Rate,Red Card Rate,YellowRed Card Rate
Championship,2022,Yule,Blair,32,Scotland,Cove Rangers,Midfielder,18,1482.0,1,2,1,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.05555555555555555,0.16666666666666666,82.33333333333333,0.024291497975708502,0.0,0.0
Championship,2022,Heraghty,Jacques,22,Scotland,Queen's Park,Goalkeeper,0,0.0,0,0,36,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Championship,2022,Connell,Kyle,23,Scotland,Raith Rovers,Attacker,20,1018.0,11,5,12,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,0.0,0.1,0.8,50.9,0.05893909626719057,0.0,0.0
Championship,2022,Ross,Ethan,23,Scotland,Raith Rovers,Midfielder,20,1083.0,7,7,7,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.05,0.7,54.15,0.0,0.0,0.0
Championship,2022,Virtanen,Miko Aarne,25,Finland,Cove Rangers,Midfielder,11,592.0,6,4,6,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,0.0,0.9090909090909091,53.81818181818182,0.0929054054054054,0.0,0.0
Championship,2022,Virtanen,Miko Aarne,25,Finland,Hamilton Academical,Midfielder,5,246.0,3,0,5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.6,49.2,0.0,0.0,0.0
Championship,2022,McGowan,Paul,37,Scotland,Dundee,Midfielder,8,459.0,3,4,5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.875,57.375,0.0,0.0,0.0
Championship,2022,Reynolds,Mark,37,Scotland,Cove Rangers,Defender,29,2470.0,1,2,7,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0,0.0,0.0,0.0,0.10344827586206896,0.10344827586206896,85.17241379310344,0.05870445344129555,0.0,0.0
Championship,2022,Hyde,Lewis,22,Scotland,Inverness CT,Midfielder,23,1027.0,12,7,24,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.8260869565217391,44.65217391304348,0.044790652385589096,0.0,0.0
Championship,2022,Miller,Calvin,26,Scotland,Morton,Midfielder,15,997.0,3,8,5,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.06666666666666667,0.7333333333333333,66.46666666666667,0.015045135406218655,0.0,0.0
