League,Season,Last Name,FirstName,Age,City,Country,Team Name,Posistion,Player Number,Number Of Appearences,Game Time,Number of Sub ins,Number of Sub outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Goals Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Dribble Past,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red cards,Total YellowRed cards,Number of Penalties Won,Number of Penalties Commited,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved
First League,2020,Stoilov,Gjorgi,29.0,,North Macedonia,Akademija Pandev,Midfielder,,26.0,2137.0,2.0,2.0,2.0,,,3.0,,,,,,,,,,,,,,,,,15.0,0.0,0.0,,,,,
First League,2020,Mishevski,Filip,33.0,,North Macedonia,Borec,Defender,,13.0,1165.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,1.0,,,,,
First League,2020,Pecov,Hristijan,30.0,,North Macedonia,FK Rabotnicki,Defender,,20.0,1304.0,6.0,6.0,6.0,,,0.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2020,Jovanov,Vane,26.0,,North Macedonia,Akademija Pandev,Defender,,26.0,1625.0,8.0,8.0,8.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Jankov,Risto,26.0,Skopje,North Macedonia,FK Rabotnicki,Goalkeeper,,29.0,2610.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2020,Ilievski,Bojan,25.0,,North Macedonia,Pelister,Defender,,31.0,2634.0,2.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,7.0,0.0,0.0,,,,,
First League,2020,Cvetanoski,Dejan,34.0,,North Macedonia,Struga,Attacker,,17.0,719.0,9.0,9.0,9.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Gjorgjiev,Gjorgji,28.0,,North Macedonia,Borec,Midfielder,,24.0,963.0,14.0,14.0,14.0,,,3.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Velkovski,David,24.0,,North Macedonia,Vardar Skopje,Attacker,,20.0,1080.0,8.0,8.0,8.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Stevkovski,Hristijan,25.0,,North Macedonia,Makedonija GjP,Goalkeeper,,24.0,2160.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Omeragikj,Azer,22.0,,North Macedonia,Borec,Attacker,,6.0,291.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Galevski,Ivan,28.0,,North Macedonia,Sileks,Attacker,,11.0,497.0,5.0,5.0,5.0,,,2.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Glishikj,Darko,33.0,,North Macedonia,Shkupi 1927,Defender,,14.0,986.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Jusufi,Fatjon,29.0,Tetovo,North Macedonia,Renova,Midfielder,,14.0,1126.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2020,Micevski,Darko,32.0,Skopje,North Macedonia,Vardar Skopje,Midfielder,,15.0,1157.0,3.0,3.0,3.0,,,3.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Demir,Benjamin,28.0,,North Macedonia,Belasica,Defender,,13.0,991.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Zahov,Kostadin,37.0,,North Macedonia,Shkendija,Goalkeeper,,30.0,2700.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Duranski,Filip,33.0,Skopje,North Macedonia,Sileks,Midfielder,,8.0,384.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Bajrami,Medin,26.0,,North Macedonia,Belasica,Defender,,19.0,1559.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Sharkoski,Nikolche,30.0,,North Macedonia,Akademija Pandev,Midfielder,,8.0,309.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Mishkovski,Nenad,38.0,,North Macedonia,Renova,Defender,,31.0,2777.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,
First League,2020,Jasharoski,Alen,33.0,,North Macedonia,Renova,Attacker,,32.0,1479.0,20.0,20.0,20.0,,,8.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Mustafa,Burhan,34.0,,North Macedonia,FK Rabotnicki,Goalkeeper,,2.0,180.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Nikolovski,Kristijan,27.0,,North Macedonia,Pelister,Midfielder,,28.0,1740.0,9.0,9.0,9.0,,,0.0,,,,,,,,,,,,,,,,,14.0,0.0,0.0,,,,,
First League,2020,Hani,Agon,26.0,,North Macedonia,Struga,Defender,,11.0,59.0,10.0,10.0,10.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Jahja,Abdulhadi,25.0,,North Macedonia,Struga,Attacker,,29.0,2043.0,6.0,6.0,6.0,,,3.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2020,Kochoski,Valentin,27.0,,North Macedonia,Pelister,Midfielder,,25.0,1968.0,4.0,4.0,4.0,,,3.0,,,,,,,,,,,,,,,,,10.0,0.0,0.0,,,,,
First League,2020,Iljazi,Ardit,24.0,Gostivar,North Macedonia,Shkupi 1927,Defender,,17.0,1030.0,4.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Gjurkovski,Aleksandar,22.0,Skopje,North Macedonia,Vardar Skopje,Midfielder,,19.0,1403.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2020,Mitev,Robert,30.0,,North Macedonia,Belasica,Defender,,6.0,344.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2020,Ristovski,Marjan,28.0,,North Macedonia,FK Rabotnicki,Midfielder,,14.0,1250.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Ziba,Arion,23.0,,North Macedonia,Struga,Midfielder,,3.0,114.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Markoski,Kire,29.0,Ohrid,North Macedonia,Akademija Pandev,Attacker,,12.0,511.0,7.0,7.0,7.0,,,2.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Ilikj,Filip,27.0,Skopje,North Macedonia,Vardar Skopje,Goalkeeper,,31.0,2790.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2020,Stojkov,Dragan,36.0,Strumica,North Macedonia,FK Rabotnicki,Midfielder,,22.0,1635.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,
First League,2020,Murati,Mevlan,30.0,Tetovo,North Macedonia,Shkendija,Defender,,29.0,2361.0,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Petkovski,Petar,27.0,,North Macedonia,FK Rabotnicki,Attacker,,18.0,928.0,9.0,9.0,9.0,,,2.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Ristevski,Aleksandar,32.0,,North Macedonia,Struga,Defender,,27.0,2322.0,1.0,1.0,1.0,,,5.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Cvetanoski,Matej,27.0,Skopje,North Macedonia,Shkupi 1927,Midfielder,,14.0,879.0,3.0,3.0,3.0,,,2.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Bilali,Sabit,27.0,Tetovo,North Macedonia,Shkupi 1927,Midfielder,,31.0,1556.0,15.0,15.0,15.0,,,0.0,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,
First League,2020,Kalanoski,Antonio,30.0,,North Macedonia,Belasica,Attacker,,26.0,2170.0,0.0,0.0,0.0,,,8.0,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,
First League,2020,Tomovski,Goran,26.0,,North Macedonia,Akademija Pandev,Midfielder,,22.0,1392.0,6.0,6.0,6.0,,,0.0,,,,,,,,,,,,,,,,,7.0,0.0,0.0,,,,,
First League,2020,Milovanovikj,Daniel,26.0,,North Macedonia,Akademija Pandev,Midfielder,,27.0,1382.0,10.0,10.0,10.0,,,4.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Adem,Ermedin,34.0,,North Macedonia,Makedonija GjP,Midfielder,,24.0,1687.0,4.0,4.0,4.0,,,4.0,,,,,,,,,,,,,,,,,6.0,0.0,1.0,,,,,
First League,2020,Alchevski,Marko,22.0,Bitola,North Macedonia,Akademija Pandev,Goalkeeper,,16.0,1412.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,1.0,,,,,
First League,2020,Naumcheski,Stefan,24.0,,North Macedonia,Vardar Skopje,Midfielder,,3.0,258.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Ivanovski,Zoran,24.0,,North Macedonia,Belasica,Defender,,27.0,1858.0,4.0,4.0,4.0,,,1.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Stojanovski,Georg,20.0,,North Macedonia,Vardar Skopje,Attacker,,15.0,282.0,12.0,12.0,12.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Mazari,Atdhe,23.0,,Albania,Struga,Midfielder,,7.0,81.0,7.0,7.0,7.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Kupanov,Filip,22.0,Gevgelija,North Macedonia,Akademija Pandev,Goalkeeper,,3.0,206.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Terziev,Spase,22.0,,North Macedonia,Akademija Pandev,Defender,,4.0,191.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Angelov,Matej,20.0,,North Macedonia,FK Rabotnicki,Midfielder,,3.0,31.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Gjurgjevikj,Fahrudin,32.0,Skopje,North Macedonia,FK Rabotnicki,Attacker,,26.0,1681.0,7.0,7.0,7.0,,,12.0,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,
First League,2020,Zuka,Fisnik,29.0,,North Macedonia,FK Rabotnicki,Midfielder,,18.0,1099.0,6.0,6.0,6.0,,,0.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2020,Spirkoski,Blagoja,28.0,Prilep,North Macedonia,Pelister,Midfielder,,24.0,1950.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Stojkoski,Kristijan,33.0,,North Macedonia,FK Rabotnicki,Attacker,,24.0,1237.0,11.0,11.0,11.0,,,2.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2020,Bozhinovski,Daniel,35.0,,North Macedonia,Sileks,Goalkeeper,,22.0,1936.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2020,Serafimovski,Viktor,29.0,,North Macedonia,Sileks,Midfielder,,28.0,2232.0,4.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,
First League,2020,Timovski,Angelche,30.0,,North Macedonia,Sileks,Defender,,29.0,2431.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,6.0,2.0,0.0,,,,,
First League,2020,Stoimenovski,Oliver,25.0,,North Macedonia,Borec,Defender,,29.0,2386.0,2.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Karcheski,Daniel,32.0,,North Macedonia,Sileks,Midfielder,,29.0,2453.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,9.0,0.0,1.0,,,,,
First League,2020,Eftimov,Kristijan,25.0,Skopje,North Macedonia,Borec,Defender,,28.0,2169.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2020,Ivanovski,Ivan,29.0,,North Macedonia,Sileks,Attacker,,21.0,1462.0,4.0,4.0,4.0,,,8.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Lazarevikj,Stefan,27.0,,North Macedonia,Vardar Skopje,Midfielder,,31.0,2491.0,2.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,
First League,2020,Mihailov,Filip,26.0,,North Macedonia,Belasica,Midfielder,,26.0,1345.0,10.0,10.0,10.0,,,0.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Kocev,Aleksandar,21.0,,North Macedonia,Belasica,Midfielder,,20.0,1126.0,10.0,10.0,10.0,,,1.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Kirovski,Andrej,25.0,,North Macedonia,FK Rabotnicki,Defender,,8.0,707.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,1.0,,,,,
First League,2020,Krstevski,Viktor,22.0,Skopje,North Macedonia,Vardar Skopje,Defender,,21.0,1724.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2020,Stojkov,David,23.0,Strumica,North Macedonia,Belasica,Defender,,13.0,936.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Manasievski,David,23.0,Kumanovo,North Macedonia,Sileks,Midfielder,,14.0,781.0,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Abazi,Rejjan,22.0,,Canada,Shkupi 1927,Attacker,,3.0,41.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Mirchevski,Teodor,23.0,,North Macedonia,Borec,Defender,,2.0,10.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Dita,Bruno,31.0,Tiranë,Albania,Shkendija,Midfielder,,28.0,2139.0,7.0,7.0,7.0,,,1.0,,,,,,,,,,,,,,,,,9.0,0.0,0.0,,,,,
First League,2020,Cake,Klisman,25.0,Pogradec,Albania,Struga,Defender,,31.0,2772.0,0.0,0.0,0.0,,,4.0,,,,,,,,,,,,,,,,,10.0,0.0,0.0,,,,,
First League,2020,Taleski,Davor,29.0,,North Macedonia,Pelister,Goalkeeper,,29.0,2610.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,7.0,0.0,0.0,,,,,
First League,2020,Ibraimi,Besart,38.0,Kicevo,North Macedonia,Shkendija,Attacker,,32.0,2612.0,2.0,2.0,2.0,,,24.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Efremov,Andreja,32.0,,North Macedonia,Borec,Goalkeeper,,6.0,540.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Trapanovski,Kristijan,25.0,Bitola,North Macedonia,Shkupi 1927,Attacker,,13.0,744.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Qaka,Kamer,29.0,Pejë,Kosovo,Shkendija,Midfielder,,14.0,856.0,6.0,6.0,6.0,,,1.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Totre,Ennur,28.0,Tetovo,North Macedonia,Shkendija,Midfielder,,17.0,1263.0,3.0,3.0,3.0,,,4.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Ilieski,Darko,29.0,,North Macedonia,Pelister,Defender,,31.0,2790.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,7.0,0.0,0.0,,,,,
First League,2020,Abdula,Dzhelil,33.0,Tetovo,North Macedonia,Renova,Defender,,31.0,2707.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,7.0,1.0,0.0,,,,,
First League,2020,Adem,Ali,24.0,,North Macedonia,Shkupi 1927,Midfielder,,10.0,602.0,3.0,3.0,3.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Velija,Bashkim,31.0,,North Macedonia,Renova,Defender,,32.0,2854.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2020,Vosha,Arbi,23.0,,North Macedonia,Makedonija GjP,Attacker,,28.0,1756.0,6.0,6.0,6.0,,,2.0,,,,,,,,,,,,,,,,,9.0,0.0,0.0,,,,,
First League,2020,Sheji,Blerton,24.0,Ohrid,North Macedonia,Struga,Defender,,32.0,2179.0,6.0,6.0,6.0,,,0.0,,,,,,,,,,,,,,,,,9.0,0.0,0.0,,,,,
First League,2020,Iljazi,Artan,25.0,,North Macedonia,Shkupi 1927,Goalkeeper,,6.0,540.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Ramadani,Florent,24.0,,North Macedonia,Shkendija,Midfielder,,22.0,822.0,7.0,7.0,7.0,,,2.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Merdzhani,Zija,29.0,,North Macedonia,Shkendija,Defender,,8.0,312.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Krstevski,Vane,21.0,,North Macedonia,Akademija Pandev,Midfielder,,3.0,35.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Gudjufi,Besar,20.0,Skopje,North Macedonia,Belasica,Midfielder,,10.0,641.0,4.0,4.0,4.0,,,2.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Ramani,Ferat,30.0,,North Macedonia,Shkendija,Goalkeeper,,2.0,180.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Martinaga,Marko,26.0,Koprivnica,Croatia,Akademija Pandev,Defender,,15.0,1334.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Tošeski,Miloš,26.0,,North Macedonia,FK Rabotnicki,Midfielder,,17.0,600.0,12.0,12.0,12.0,,,1.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Shabani,Bunjamin,33.0,,North Macedonia,Struga,Midfielder,,28.0,2336.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,9.0,0.0,1.0,,,,,
First League,2020,Krivák,Ján,31.0,Vranov nad Topľou,Slovakia,Shkendija,Defender,,22.0,1980.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,12.0,0.0,0.0,,,,,
First League,2020,Neziri,Medzhit,34.0,Tetovo,North Macedonia,Shkendija,Defender,,24.0,1808.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,
First League,2020,Tairi,Flamur,34.0,,North Macedonia,Struga,Midfielder,,29.0,1735.0,11.0,11.0,11.0,,,1.0,,,,,,,,,,,,,,,,,7.0,0.0,1.0,,,,,
First League,2020,Đorđević,Krsta,31.0,Gnjilane,Serbia,Sileks,Midfielder,,5.0,194.0,4.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Radeski,Marjan,29.0,,North Macedonia,Akademija Pandev,Attacker,,31.0,2509.0,2.0,2.0,2.0,,,7.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Mirchevski,Martin,27.0,,North Macedonia,Vardar Skopje,Attacker,,27.0,1897.0,5.0,5.0,5.0,,,8.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2020,Krivanjeva,Besart,28.0,,North Macedonia,Shkupi 1927,Defender,,32.0,2880.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,9.0,0.0,0.0,,,,,
First League,2020,Sadriu,Leard,23.0,,Kosovo,Shkendija,Defender,,2.0,71.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Panoski,Igor,25.0,,North Macedonia,Akademija Pandev,Midfielder,,4.0,299.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Todorovski,Dimitar,22.0,,North Macedonia,FK Rabotnicki,Midfielder,,33.0,1972.0,7.0,7.0,7.0,,,2.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Kasami,Ard,26.0,,North Macedonia,Struga,Midfielder,,17.0,1523.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2020,Čumić,Luka,23.0,,Serbia,FK Rabotnicki,Attacker,,12.0,393.0,8.0,8.0,8.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Petejchuk,Anatolij,22.0,,North Macedonia,Vardar Skopje,Defender,,11.0,439.0,9.0,9.0,9.0,,,1.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Talakov,Martin,21.0,,North Macedonia,Borec,Midfielder,,11.0,493.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Vulić,Aleksandar,23.0,,Serbia,Belasica,Goalkeeper,,15.0,1339.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Mirseloski,Raif,40.0,,North Macedonia,Struga,Goalkeeper,,6.0,540.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Adili,Murat,,,North Macedonia,Borec,Attacker,,14.0,498.0,10.0,10.0,10.0,,,3.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Ilijovski,Riste,30.0,,North Macedonia,Pelister,Midfielder,,9.0,679.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,,,,,2.0,0.0,1.0,,,,,
First League,2020,Gligorov,Filip,31.0,Skopje,North Macedonia,Shkupi 1927,Defender,,28.0,2140.0,5.0,5.0,5.0,,,1.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Farsak,Salim,26.0,Kayseri,Türkiye,Shkupi 1927,Midfielder,,4.0,54.0,4.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Rwatubyaye,Abdul,28.0,Kigali,Rwanda,Shkupi 1927,Defender,,13.0,1170.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Naumovski,Kristijan,36.0,Skopje,North Macedonia,Shkupi 1927,Goalkeeper,,27.0,2430.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2020,Mecinovikj,Jasmin,34.0,Čačak,North Macedonia,Struga,Defender,,30.0,2310.0,4.0,4.0,4.0,,,1.0,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,
First League,2020,Đurić,Uroš,31.0,Beograd,Serbia,Struga,Goalkeeper,,27.0,2430.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,8.0,0.0,0.0,,,,,
First League,2020,Trajanovski,Filip,25.0,,North Macedonia,Borec,Defender,,6.0,482.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Imeri,Omar,25.0,Skopje,North Macedonia,Shkendija,Midfielder,,3.0,78.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Krstovski,Mario,26.0,,North Macedonia,Akademija Pandev,Attacker,,31.0,2029.0,9.0,9.0,9.0,,,7.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2020,Doriev,Ljupcho,29.0,Strumica,North Macedonia,Shkendija,Attacker,,31.0,2175.0,6.0,6.0,6.0,,,7.0,,,,,,,,,,,,,,,,,5.0,1.0,0.0,,,,,
First League,2020,Goudiaby,Oumar,29.0,,Senegal,Pelister,Attacker,,14.0,1169.0,1.0,1.0,1.0,,,4.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Darboe,Dembo,26.0,Brikama,Gambia,Shkupi 1927,Attacker,,18.0,1608.0,0.0,0.0,0.0,,,16.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2020,Silva dos Santos,Charleston,28.0,,Brazil,Makedonija GjP,Defender,,15.0,1350.0,0.0,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2020,Güllü,Fırat,23.0,İstanbul,Türkiye,Shkupi 1927,Midfielder,,4.0,36.0,4.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Stankovski,Luka,22.0,Skopje,North Macedonia,FK Rabotnicki,Midfielder,,29.0,2223.0,4.0,4.0,4.0,,,8.0,,,,,,,,,,,,,,,,,7.0,0.0,0.0,,,,,
First League,2020,Tomić,Milan,24.0,Požarevac,Serbia,Akademija Pandev,Midfielder,,8.0,380.0,4.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2020,Stojchevski,Andrej,21.0,,North Macedonia,Akademija Pandev,Defender,,10.0,275.0,8.0,8.0,8.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2020,Senghor,Faustin,30.0,,Senegal,Shkupi 1927,Defender,,13.0,805.0,4.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2020,Mijatović,Milenko,21.0,,Serbia,Belasica,Attacker,,13.0,420.0,10.0,10.0,10.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
