League,Season,Last Name,FirstName,Age,City,Country,Team Name,Posistion,Player Number,Number Of Appearences,Game Time,Number of Sub ins,Number of Sub outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Goals Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Dribble Past,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red cards,Total YellowRed cards,Number of Penalties Won,Number of Penalties Commited,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved
First League,2019,Kostov,Stefan,27.0,,North Macedonia,Akademija Pandev,Midfielder,,9.0,571.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,2.0,1.0,0.0,,,,,
First League,2019,Pandev,Sashko,36.0,Strumica,North Macedonia,Akademija Pandev,Attacker,,23.0,1468.0,4.0,4.0,4.0,,,3.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2019,Kolevski,Bojan,21.0,"
    ",North Macedonia,Vardar Skopje,Attacker,,18.0,803.0,10.0,10.0,10.0,,,1.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Gafuri,Argjent,34.0,,North Macedonia,Renova,Midfielder,,22.0,1980.0,0.0,0.0,0.0,,,4.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2019,Grozdanoski,Hristijan,30.0,,North Macedonia,Sileks,Defender,,15.0,1268.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2019,Cordoba,Alexander Borja,25.0,,Colombia,FK Rabotnicki,Defender,,7.0,357.0,4.0,4.0,4.0,,,1.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Hristov,Simeon,31.0,Skopje,North Macedonia,Borec,Attacker,,15.0,1208.0,1.0,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2019,Petrov,Filip,33.0,Skopje,North Macedonia,Borec,Attacker,,9.0,386.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,
First League,2019,Anastasov,Aleksandar,28.0,,North Macedonia,Borec,Midfielder,,3.0,39.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Kocev,Robert,29.0,,North Macedonia,Borec,Midfielder,,23.0,1906.0,2.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Trajkov,Trajche,30.0,,North Macedonia,Borec,Midfielder,,14.0,301.0,13.0,13.0,13.0,,,0.0,,,,,,,,,,,,,,,,,7.0,0.0,0.0,,,,,
First League,2019,Risteski,Nikola,27.0,,North Macedonia,Borec,Defender,,5.0,432.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2019,Kostovski,Filip,20.0,"
    ",North Macedonia,Sileks,Defender,,4.0,158.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
